Image,Image area,Number of edges,Length of bounded box,Width of bounded box,Area of bounded box,Difference of area,Percentage filled area,Compactness factor,Complexity Level,Design family,DBSCAN_Labels
303,91149.0,6,337,452,152324,61175.0,40.16110396260603,70.37952538532834,0,3,25
304,134658.5,4,338,452,152776,18117.5,11.858865266795831,88.09550605220167,1,2,27
305,102867.5,7,337,452,152324,49456.5,32.46796302618103,72.14792831654782,2,3,3
306,112515.5,10,337,452,152324,39808.5,26.134095743284053,75.35474352831602,2,3,13
307,127334.0,7,337,452,152324,24990.0,16.405819174916626,82.94183994594007,1,0,4
308,107350.0,6,338,452,152776,45426.0,29.73372781065089,75.49204276136996,2,1,2
309,134560.0,5,338,452,152776,18216.0,11.923338744305388,90.38397720845144,1,2,1
310,143178.5,5,338,453,153114,9935.5,6.488955941324765,94.0845864210366,1,4,1
311,100151.0,7,337,452,152324,52173.0,34.25133268559124,68.38467902548132,0,3,3
312,108069.0,5,337,452,152324,44255.0,29.053202384391163,75.84496865880092,2,3,41
313,112515.5,10,337,452,152324,39808.5,26.134095743284053,75.35474352831602,2,3,13
